investor	('investor', 'investors')
salesforc	('salesforce',)
texa	('texas',)
broadcom	('broadcom',)
paypal	('paypal',)
sap	('sap',)
chose	('chose',)
smaller	('smaller',)
larger	('larger',)
12-month	('12-month',)
$165	('$165',)
$331	('$331',)
situat	('situated', 'situations')
similarli	('similarly',)
programs*	('programs*',)
fix	('fixed', 'fix', 'fixing')
retroact	('retroactively',)
semi-monthli	('semi-monthly',)
payrol	('payroll',)
anniversari	('anniversary',)
3-	('3-',)
timefram	('timeframe', 'timeframes')
day-to-day	('day-to-day',)
realiz	('realized', 'realize', 'realizable', 'realizing', 'realization')
44	('44',)
insur	('insurance', 'insurers')
again	('again',)
formula	('formula',)
context	('context',)
above-market	('above-market',)
pertain	('pertaining', 'pertain')
closer	('closer',)
grown	('grown',)
emphasi	('emphasis',)
predetermin	('predetermined',)
performance-	('performance-',)
tightli	('tightly',)
longer-term	('longer-term',)
conting	('contingent', 'contingency', 'contingencies')
time-vest	('time-vesting',)
felt	('felt',)
intellectu	('intellectual',)
underli	('underlying',)
cancel	('cancelled', 'canceling', 'cancellation', 'cancel', 'canceled', 'cancellable')
46	('46',)
macroeconom	('macroeconomic',)
straight-lin	('straight-line',)
interpol	('interpolation',)
daili	('daily',)
one-day	('one-day',)
fluctuat	('fluctuations', 'fluctuated', 'fluctuate')
uncertain	('uncertain',)
attain	('attainable', 'attained', 'attainment')
deceler	('decelerated',)
budget	('budgeted', 'budgets')
becam	('became',)
999	('999',)
572	('572',)
786	('786',)
060	('060',)
$600	('$600',)
799	('799',)
355	('355',)
29%	('29%',)
839	('839',)
67	('67',)
439	('439',)
739	('739',)
080	('080',)
519	('519',)
628	('628',)
652	('652',)
650	('650',)
399	('399',)
021	('021',)
619	('619',)
547	('547',)
712	('712',)
419	('419',)
751	('751',)
940	('940',)
359	('359',)
850	('850',)
$500	('$500',)
899	('899',)
338	('338',)
17%	('17%',)
893	('893',)
580	('580',)
938	('938',)
416	('416',)
328	('328',)
14%	('14%',)
77%	('77%',)
risk-bas	('risk-based',)
aris	('arises', 'arise', 'arising')
company-incur	('company-incurred',)
dental	('dental',)
accident	('accidental',)
disabl	('disability', 'disabled')
deferr	('deferral', 'deferrals')
executive-level	('executive-level',)
occas	('occasion',)
nonpubl	('nonpublic',)
non-publ	('non-public',)
manner	('manner',)
intent	('intentionally', 'intention', 'intents')
49	('49',)
recoveri	('recovery',)
correct	('correct', 'corrective', 'corrections', 'correction')
error	('error', 'errors')
noncompli	('noncompliance',)
payabl	('payable',)
origin	('original', 'originally')
overpay	('overpayment',)
disgorg	('disgorge', 'disgorgement')
after-tax	('after-tax',)
repay	('repay', 'repayment', 'repayments')
recoup	('recoup', 'recoupment')
partial	('partial', 'partially')
open-market	('open-market',)
dodd-frank	('dodd-frank',)
taxabl	('taxable',)
non-deduct	('non-deductible',)
relief	('relief',)
cut	('cuts',)
deduct	('deductible', 'deduction', 'deductions', 'deductibility', 'deductibles', 'deducting', 'deduct')
exempt	('exempt', 'exemption', 'exemptions')
modif	('modifications', 'modification')
consequ	('consequences',)
non-compli	('non-compliance', 'non-compliant')
share-bas	('share-based',)
ascertain	('ascertain',)
find	('findings',)
guard	('guard',)
long-	('long-',)
recov	('recover',)
misconduct	('misconduct',)
enforc	('enforce', 'enforced', 'enforcement', 'enforceable')
no-hedg	('no-hedging',)
no-pledg	('no-pledging',)
insul	('insulating',)
52-week	('52-week',)
53-week	('53-week',)
non-equ	('non-equity',)
216	('216',)
660	('660',)
81	('81',)
038	('038',)
737	('737',)
661	('661',)
017	('017',)
279	('279',)
780	('780',)
266	('266',)
316	('316',)
514	('514',)
676	('676',)
805	('805',)
402	('402',)
492	('492',)
896	('896',)
595	('595',)
269	('269',)
020	('020',)
312	('312',)
775	('775',)
927	('927',)
915	('915',)
620	('620',)
731	('731',)
121	('121',)
863	('863',)
307	('307',)
219	('219',)
667	('667',)
122	('122',)
432	('432',)
946	('946',)
406	('406',)
892	('892',)
819	('819',)
493	('493',)
172	('172',)
966	('966',)
487	('487',)
052	('052',)
388	('388',)
689	('689',)
410	('410',)
921	('921',)
944	('944',)
151	('151',)
856	('856',)
705	('705',)
784	('784',)
483	('483',)
478	('478',)
851	('851',)
864	('864',)
752	('752',)
904	('904',)
581	('581',)
109	('109',)
237	('237',)
847	('847',)
037	('037',)
200	('200',)
183	('183',)
056	('056',)
457	('457',)
771	('771',)
783	('783',)
191	('191',)
157	('157',)
173	('173',)
957	('957',)
probabl	('probable',)
outcom	('outcome', 'outcomes')
074	('074',)
093	('093',)
536	('536',)
968	('968',)
415	('415',)
047	('047',)
816	('816',)
559	('559',)
942	('942',)
031	('031',)
872	('872',)
$821	('$821',)
923	('923',)
810	('810',)
497	('497',)
035	('035',)
748	('748',)
639	('639',)
621	('621',)
$977	('$977',)
104	('104',)
546	('546',)
$901	('$901',)
$596	('$596',)
540	('540',)
734	('734',)
793	('793',)
$479	('$479',)
310	('310',)
882	('882',)
578	('578',)
815	('815',)
610	('610',)
$368	('$368',)
371	('371',)
imput	('imputed',)
$56	('$56',)
588	('588',)
308	('308',)
642	('642',)
902	('902',)
pre-	('pre-',)
service-bas	('service-based',)
#	('#',)
of\xa0stock	('of\\xa0stock',)
jen-	('jen-',)
hsun	('hsun',)
\xa0\xa0	('\\xa0\\xa0',)
264	('264',)
508	('508',)
395	('395',)
207	('207',)
772	('772',)
523	('523',)
908	('908',)
905	('905',)
971	('971',)
094	('094',)
112	('112',)
754	('754',)
325	('325',)
288	('288',)
515	('515',)
936	('936',)
604	('604',)
832	('832',)
962	('962',)
556	('556',)
125	('125',)
abl	('able',)
options\xa0	('options\\xa0',)
expir	('expiration', 'expires', 'expire', 'expired', 'expiring')
number\xa0of	('number\\xa0of',)
units\xa0of\xa0stock	('units\\xa0of\\xa0stock',)
not\xa0vested\xa0	('not\\xa0vested\\xa0',)
market\xa0valu	('market\\xa0value',)
\xa0of	('\\xa0of',)
market\xa0value\xa0of	('market\\xa0value\\xa0of',)
292	('292',)
340	('340',)
615	('615',)
4275	('4275',)
155	('155',)
591	('591',)
491	('491',)
132	('132',)
852	('852',)
995	('995',)
116	('116',)
534	('534',)
598	('598',)
024	('024',)
418	('418',)
429	('429',)
876	('876',)
255	('255',)
678	('678',)
152	('152',)
375	('375',)
360	('360',)
413	('413',)
994	('994',)
184	('184',)
888	('888',)
026	('026',)
575	('575',)
309	('309',)
485	('485',)
728	('728',)
166	('166',)
275	('275',)
068	('068',)
472	('472',)
331	('331',)
916	('916',)
437	('437',)
376	('376',)
369	('369',)
878	('878',)
688	('688',)
203	('203',)
096	('096',)
061	('061',)
010	('010',)
970	('970',)
221	('221',)
265	('265',)
342	('342',)
992	('992',)
488	('488',)
427	('427',)
293	('293',)
570	('570',)
827	('827',)
568	('568',)
552	('552',)
477	('477',)
586	('586',)
744	('744',)
088	('088',)
490	('490',)
103	('103',)
629	('629',)
195	('195',)
510	('510',)
057	('057',)
596	('596',)
326	('326',)
538	('538',)
506	('506',)
048	('048',)
multipli	('multiplying', 'multiplied', 'multiplier')
january\xa028	('january\\xa028',)
724	('724',)
632	('632',)
480	('480',)
512	('512',)
452	('452',)
268	('268',)
septemb	('september',)
acquired\xa0on	('acquired\\xa0on',)
exercise\xa0	('exercise\\xa0',)
vesting\xa0	('vesting\\xa0',)
107	('107',)
809	('809',)
290	('290',)
792	('792',)
656	('656',)
126	('126',)
064	('064',)
179	('179',)
423	('423',)
835	('835',)
withheld	('withheld',)
030	('030',)
426	('426',)
\xa0\xa0\xa0\xa0our	('\\xa0\\xa0\\xa0\\xa0our',)
at-wil	('at-will',)
\xa0\xa0our	('\\xa0\\xa0our',)
surviv	('surviving',)
\xa0with	('\\xa0with',)
\xa0al	('\\xa0all',)
estimated\xa0benefit\xa0	('estimated\\xa0benefit\\xa0',)
113	('113',)
186	('186',)
958	('958',)
468	('468',)
990	('990',)
shortli	('shortly',)
997	('997',)
742	('742',)
760	('760',)
390	('390',)
070	('070',)
099	('099',)
187	('187',)
680	('680',)
913	('913',)
perman	('permanent', 'permanently')
foreign	('foreign',)
currenc	('currencies', 'currency')
convert	('converted', 'convertible')
methodolog	('methodology',)
$217	('$217',)
542	('542',)
employee\xa0pay	('employee\\xa0pay',)
ratio\xa0wa	('ratio\\xa0was',)
explain	('explained',)
desir	('desires', 'desirable', 'desire', 'desired')
fiscal\xa02022	('fiscal\\xa02022',)
fiscal\xa02021	('fiscal\\xa02021',)
762	('762',)
002	('002',)
708	('708',)
609	('609',)
281	('281',)
682	('682',)
862	('862',)
registr	('registration', 'registrant', 'registrants')
comfort	('comfort',)
pre-implement	('pre-implementation',)
attest	('attestation', 'attested', 'attest')
pre-approv	('pre-approved', 'pre-approval', 'pre-approvals', 'pre-approve')
compat	('compatible',)
audit-rel	('audit-related',)
case-by-cas	('case-by-case',)
unanticip	('unanticipated',)
\xa0mccafferi	('\\xa0mccaffery',)
irrespect	('irrespective',)
auditor	('auditors', 'auditor')
duplic	('duplicate',)
verif	('verification',)
opinion	('opinion', 'opinions')
conform	('conformity', 'conform')
par	('par',)
merit	('merits', 'merit')
741	('741',)
169	('169',)
sum	('sum',)
row	('rows', 'row')
unissu	('unissued',)
nor	('nor',)
privileg	('privileges',)
preemptiv	('preemptive',)
abandon	('abandon',)
expressli	('expressly',)
028	('028',)
valley	('valley',)
intens	('intense', 'intensive', 'intensely')
overhang	('overhang',)
weighted-averag	('weighted-average',)
96	('96',)
374	('374',)
961	('961',)
165	('165',)
$273	('$273',)
burn	('burn',)
651	('651',)
495	('495',)
16%	('16%',)
46%	('46%',)
73%	('73%',)
91%	('91%',)
45%	('45%',)
668	('668',)
608	('608',)
438	('438',)
624	('624',)
467	('467',)
175	('175',)
outlin	('outlined',)
entireti	('entirety',)
append	('appended',)
exert	('exert',)
nonstatutori	('nonstatutory',)
settl	('settled', 'settle')
newli	('newly',)
subsequ	('subsequent', 'subsequently')
proce	('proceeds',)
forfeit	('forfeited',)
358	('358',)
per-particip	('per-participant',)
strike	('strike',)
concurr	('concurrent', 'concurrently')
revest	('revest',)
itself	('itself',)
non-offic	('non-officer',)
re-grant	('re-grant',)
repeal	('repealed', 'repeal')
remuner	('remuneration',)
contract	('contract', 'contracts', 'contracted')
assur	('assurance', 'assurances')
iso	('isos', 'iso')
nso	('nsos', 'nso')
110%	('110%',)
die	('dies',)
short-sw	('short-swing',)
check	('check',)
draft	('draft',)
descent	('descent',)
domest	('domestic', 'domestically', 'domestication')
offici	('official',)
marit	('marital',)
fail	('fail', 'fails', 'failing', 'failed')
our	('ours',)
denomin	('denominated', 'denominator')
impos	('impose', 'imposed', 'imposes')
length	('length',)
thereof	('thereof',)
90th	('90th',)
elaps	('elapsed', 'elapses')
enumer	('enumerated',)
elimin	('eliminate', 'eliminated')
categor	('categorized',)
non-oper	('non-operating', 'non-operational')
depreci	('depreciation', 'depreciated')
reduct	('reduction', 'reductions')
satisfact	('satisfaction',)
infring	('infringement', 'infringe')
non-recur	('non-recurring',)
shut	('shutting', 'shut')
one-tim	('one-time',)
legisl	('legislation', 'legislative')
unusu	('unusual',)
infrequ	('infrequency',)
occurr	('occurrence',)
joint	('joint',)
reorgan	('reorganization',)
recapit	('recapitalization',)
spin-off	('spin-off',)
bonus	('bonuses',)
bonu	('bonus',)
impair	('impairment', 'impair', 'impaired', 'impairments', 'impairing')
long-liv	('long-lived',)
goodwil	('goodwill',)
donat	('donations',)
divest	('divested',)
whom	('whom',)
dodd	('dodd',)
frank	('frank',)
reacquisit	('reacquisition',)
proportion	('proportionately',)
es	('es',)
\xa0conting	('\\xa0contingent',)
laps	('lapse',)
consumm	('consummation', 'consummated', 'consummate')
\xa0a	('\\xa0a', '\\xa0as')
\xa0w	('\\xa0we',)
indirectli	('indirectly',)
thereto	('thereto',)
agre	('agreed',)
taxat	('taxation',)
exhaust	('exhaustive',)
section\xa0401	('section\\xa0401',)
1974	('1974',)
section\xa0162	('section\\xa0162',)
ordinari	('ordinary',)
section\xa0422	('section\\xa0422',)
disqualifi	('disqualifying', 'disqualify')
constitut	('constitutes', 'constituting', 'constitute')
sell	('sell', 'selling')
30\xa0	('30\\xa0',)
section\xa0409a	('section\\xa0409a',)
owe	('owe', 'owed')
tandem	('tandem',)
disallow	('disallows',)
enact	('enactment', 'enacted')
ambigu	('ambiguities',)
non-execut	('non-executive',)
former	('former',)
30-day	('30-day',)
420	('420',)
930	('930',)
549	('549',)
909	('909',)
982	('982',)
655	('655',)
516	('516',)
412	('412',)
535	('535',)
012	('012',)
204	('204',)
139	('139',)
732	('732',)
114	('114',)
848	('848',)
securities\xa0to\xa0b	('securities\\xa0to\\xa0be',)
issued\xa0upon\xa0exercis	('issued\\xa0upon\\xa0exercise',)
warrant	('warrants', 'warrant', 'warranted')
number\xa0of\xa0secur	('number\\xa0of\\xa0securities',)
remaining\xa0available\xa0for	('remaining\\xa0available\\xa0for',)
987	('987',)
785	('785',)
952	('952',)
discount	('discount', 'discounted')
pre-determin	('pre-determined',)
630	('630',)
871	('871',)
081	('081',)
164	('164',)
054	('054',)
670	('670',)
496	('496',)
592	('592',)
770	('770',)
327	('327',)
569	('569',)
767	('767',)
758	('758',)
section\xa016	('section\\xa016',)
furnish	('furnish', 'furnished')
herewith	('herewith',)
logo	('logo',)
trademark	('trademarks',)
paragraph	('paragraph',)
articl	('article',)
one-tenth	('one-tenth',)
cent	('cent',)
one-	('one-',)
tenth	('tenth',)
alter	('alter', 'altered')
wholli	('wholly',)
decreas	('decrease', 'decreased', 'decreases')
sentenc	('sentence',)
duli	('duly',)
fifth	('fifth',)
sixth	('sixth',)
wit	('witness', 'witnessed')
whereof	('whereof',)
________________________________________	('________________________________________',)
a-2	('a-2',)
[june	('[june',)
2022]	('2022]',)
portalplay	('portalplayer',)
collect	('collectively', 'collection', 'collectability', 'collecting', 'collected', 'collect', 'collections')
hereund	('hereunder',)
vi	('vi',)
vii	('vii',)
viii	('viii',)
notwithstand	('notwithstanding',)
anyth	('anything',)
tcja	('tcja',)
constru	('construe', 'construed')
omiss	('omission',)
inconsist	('inconsistency', 'inconsistent')
expedi	('expedient',)
controversi	('controversies', 'controversy', 'controversial')
suspend	('suspend', 'suspended')
suspens	('suspension',)
then-	('then-',)
nonqualifi	('nonqualified',)
therewith	('therewith',)
accru	('accruing', 'accrue', 'accrued')
thereund	('thereunder',)
16b-3	('16b-3',)
b-2	('b-2',)
clarifi	('clarify',)
sub-plan	('sub-plans',)
theretofor	('theretofore',)
subcommitte	('subcommittee',)
sar	('sars', 'sar')
himself	('himself',)
herself	('herself',)
construct	('constructions', 'constructively', 'construction', 'constructing')
faith	('faith',)
conclus	('conclusive', 'conclusion', 'conclusively', 'conclusions')
neither	('neither',)
twelv	('twelve',)
b-3	('b-3',)
766	('766',)
reapprov	('reapproved',)
733	('733',)
298	('298',)
4-for-1	('4-for-1',)
clariti	('clarity',)
5635	('5635',)
manual	('manual',)
303a	('303a',)
08	('08',)
amex	('amex',)
711	('711',)
revers	('reversion',)
forfeitur	('forfeiture', 'forfeitures')
z	('z',)
revert	('revert',)
___________	('___________',)
845	('845',)
3-for-2	('3-for-2',)
b-4	('b-4',)
reacquir	('reacquired',)
424	('424',)
405	('405',)
spin	('spin',)
s-8	('s-8',)
shorter	('shorter',)
b-5	('b-5',)
longer	('longer',)
absenc	('absence',)
subsect	('subsections',)
explicitli	('explicitly',)
satisfactori	('satisfactory',)
executor	('executor',)
difficult	('difficult',)
b-6	('b-6',)
bequest	('bequest',)
inherit	('inheritance',)
non-exempt	('non-exempt',)
labor	('labor',)
1938	('1938',)
suffer	('suffers',)
b-7	('b-7',)
book	('book', 'books')
\xa0evidenc	('\\xa0evidenced',)
long	('long',)
b-8	('b-8',)
induc	('inducement',)
commenc	('commencement', 'commencing', 'commence', 'commenced')
coven	('covenants', 'covenant')
b-9	('b-9',)
unreason	('unreasonable',)
reliev	('relieved',)
furthermor	('furthermore',)
warn	('warn',)
pend	('pending',)
miscellan	('miscellaneous',)
cleric	('clerical',)
incorrect	('incorrect',)
full-tim	('full-time',)
part-tim	('part-time',)
correspond	('corresponding', 'correspond')
lieu	('lieu',)
optionhold	('optionholder',)
b-10	('b-10',)
inop	('inoperative',)
legend	('legends',)
\xa0\xa0withhold	('\\xa0\\xa0withholding',)
classif	('classification',)
gov	('gov',)
intranet	('intranet',)
lump	('lump',)
silent	('silent',)
b-11	('b-11',)
dissolut	('dissolution',)
liquid	('liquidation', 'liquidating', 'liquidity', 'liquid')
b-12	('b-12',)
10th	('10th',)
anytim	('anytime',)
b-13	('b-13',)
reincorpor	('reincorporation', 'reincorporated')
will	('willful',)
convict	('conviction',)
guilti	('guilty',)
plea	('plea',)
feloni	('felony',)
crime	('crime',)
moral	('moral',)
turpitud	('turpitude',)
perpetr	('perpetration',)
dishonesti	('dishonesty',)
breach	('breach', 'breaches')
refus	('refusal',)
disregard	('disregard',)
injuri	('injury', 'injurious')
b-14	('b-14',)
leas	('lease', 'leased', 'leases')
ceas	('cease', 'ceases', 'ceased')
subscrib	('subscribe',)
domicil	('domicile',)
analog	('analogous',)
supersed	('supersede',)
takeov	('takeover',)
409a-3	('409a-3',)
interrupt	('interrupted', 'interruption')
b-15	('b-15',)
leav	('leave',)
sick	('sick',)
company-paid	('company-paid',)
vacat	('vacation',)
float	('floating',)
409a-1	('409a-1',)
inabl	('inability',)
w	('w',)
fiduciari	('fiduciary',)
b-16	('b-16',)
underwrit	('underwriter',)
temporarili	('temporarily',)
fifti	('fifty',)
quot	('quoted',)
reliabl	('reliable', 'reliability', 'reliably')
quotat	('quotation',)
aa	('aa',)
404	('404',)
item\xa0404	('item\\xa0404',)
bb	('bb',)
dd	('dd',)
ee	('ee',)
ff	('ff',)
gg	('gg',)
hh	('hh',)
tax-qualifi	('tax-qualified',)
b-17	('b-17',)
jj	('jj',)
kk	('kk',)
ll	('ll',)
mm	('mm',)
\xa0cash	('\\xa0cash',)
nn	('nn',)
b-18	('b-18',)
oo	('oo',)
overlap	('overlapping',)
durat	('duration',)
pp	('pp',)
qq	('qq',)
rr	('rr',)
ss	('ss',)
tt	('tt',)
uu	('uu',)
vv	('vv',)
ww	('ww',)
xx	('xx',)
yy	('yy',)
zz	('zz',)
bbb	('bbb',)
ccc	('ccc',)
might	('might',)
happen	('happening', 'happened')
b-19	('b-19',)
indirect	('indirect',)
ddd	('ddd',)
b-20	('b-20',)
washington	('washington',)
\xa020549	('\\xa020549',)
____________________________________________________________________________________________	('____________________________________________________________________________________________',)
\u2612	('\\u2612',)
\u2610	('\\u2610',)
0-23985	('0-23985',)
exact	('exact',)
94-3177549	('94-3177549',)
california\xa095051	('california\\xa095051',)
zip	('zip',)
symbol	('symbol',)
well-known	('well-known',)
issuer	('issuer', 'issuers')
ye	('yes',)
s-t	('s-t',)
\xa7232	('\\xa7232',)
filer	('filer',)
non-acceler	('non-accelerated',)
12b-2	('12b-2',)
revis	('revised', 'revisions', 'revise')
sarbanes-oxley	('sarbanes-oxley',)
7262	('7262',)
shell	('shell',)
july\xa030	('july\\xa030',)
$467	('$467',)
99	('99',)
1940	('1940',)
march\xa011	('march\\xa011',)
51\xa0billion	('51\\xa0billion',)
10-14	('10-14',)
unresolv	('unresolved',)
comment	('comments',)
mine	('mine', 'mining')
7a	('7a',)
quantit	('quantitative',)
qualit	('qualitative',)
supplementari	('supplementary',)
disagr	('disagreements',)
9a	('9a',)
9c	('9c',)
signatur	('signatures', 'signature')
channel	('channels', 'channel')
fd	('fd',)
twitter	('twitter',)
blog	('blog', 'blogs')
facebook	('facebook',)
linkedin	('linkedin',)
instagram	('instagram',)
youtub	('youtube',)
section\xa027a	('section\\xa027a',)
section\xa021	('section\\xa021e',)
harbor	('harbor',)
unknown	('unknown',)
frame	('frames', 'frame')
undu	('undue',)
cautionari	('cautionary',)
incomplet	('incomplete',)
caution	('cautioned',)
unduli	('unduly',)
\xa9	('\\xa9',)
gtx	('gtx',)
mellanox	('mellanox', 'mellanoxs')
ngc	('ngc',)
constel	('constellation',)
shield	('shield',)
vgpu	('vgpu',)
augment	('augmented', 'augment')
ar	('ar',)
vr	('vr',)
imagin	('imagination', 'imagine')
film	('films',)
parallel	('parallel',)
brain	('brain',)
multi-billion-dollar	('multi-billion-dollar',)
$29	('$29',)
yield	('yielding', 'yields', 'yield')
introduct	('introduction', 'introductions')
bio-scienc	('bio-science',)
fastest	('fastest',)
cpu-bas	('cpu-based',)
pace	('pace',)
enjoy	('enjoy',)
immers	('immersive',)
cinemat	('cinematic',)
underpin	('underpin',)
spectat	('spectator',)
sport	('sport',)
esport	('esports',)
viewer	('viewers',)
watch	('watch',)
top-qual	('top-quality',)
burgeon	('burgeoning',)
popul	('population',)
streamer	('streamers',)
broadcast	('broadcasters',)
molecular	('molecular',)
tunnel	('tunnel',)
genom	('genomics',)
enrich	('enrich', 'enrichment')
end-us	('end-users',)
shop	('shopping',)
rapidli	('rapidly',)
turn	('turning', 'turn')
detect	('detection', 'detect', 'detected')
movi	('movies', 'movie')
write-off	('write-off', 'write-offs')
prepay	('prepayment', 'prepayments', 'prepay')
cryptocurr	('cryptocurrency', 'cryptocurrencies')
cmp	('cmp',)
predomin	('predominant',)
franchis	('franchises',)
modder	('modders',)
sophist	('sophisticated',)
smoother	('smoother',)
cinematic-qu	('cinematic-quality',)
techniqu	('technique', 'techniques')
realism	('realism',)
computer-gener	('computer-generated',)
sampl	('sampling', 'samples')
boost	('boosts', 'boost', 'boosting')
beauti	('beautiful',)
underpow	('underpowered',)
tv	('tv',)
bodi	('body', 'bodies')
standalon	('standalone',)
often	('often',)
greatli	('greatly',)
multitud	('multitude',)
oil	('oil',)
drill	('drilling',)
alphabet	('alphabet',)
se	('se',)
user	('users', 'user')
inferenc	('inferencing',)
hewlett	('hewlett',)
packard	('packard',)
hitachi	('hitachi',)
vantara	('vantara',)
inspur	('inspur',)
alicloud	('alicloud',)
baidu	('baidu',)
tencent	('tencent',)
ready-to-us	('ready-to-use',)
data-center-	('data-center-',)
infrastructure-on-a-chip	('infrastructure-on-a-chip',)
hardware-acceler	('hardware-accelerated',)
domain-specif	('domain-specific',)
registri	('registry',)
catalog	('catalog',)
get	('get',)
nvidia-certifi	('nvidia-certified',)
perpetu	('perpetual',)
enterprise-grad	('enterprise-grade',)
command	('command',)
software-as-a-servic	('software-as-a-service',)
multi-us	('multi-user',)
multi-team	('multi-team',)
workflow	('workflows',)
graphics-rich	('graphics-rich',)
vendor	('vendors',)
isv	('isvs',)
encompass	('encompass',)
consumer-product	('consumer-products',)
edit	('editing',)
post-	('post-',)
broadcast-televis	('broadcast-television',)
film-qual	('film-quality',)
shadow	('shadows',)
refract	('refractions',)
mirror	('mirror',)
physically-bas	('physically-based',)
long-stand	('long-standing',)
pilot	('pilot',)
mode	('mode',)
co-pilot	('co-pilot',)
safer	('safer',)
automak	('automakers',)
tier-	('tier-',)
hd	('hd',)
map	('mapping', 'map')
modular	('modular',)
chauffeur	('chauffeur',)
park	('parking',)
concierg	('concierge',)
in-vehicl	('in-vehicle',)
precis	('precisely', 'precision')
fusion	('fusion',)
surround	('surround',)
palm-siz	('palm-sized',)
energy-	('energy-',)
modul	('module',)
highway-driv	('highway-driving',)
driverless	('driverless',)
newest	('newest',)
system-on-a-chip	('system-on-a-chip',)
autopilot	('autopilot',)
see	('sees',)
center-bas	('center-based',)
sim	('sim',)
over-the-air	('over-the-air',)
inde	('indeed',)
unsolv	('unsolvable',)
leap	('leaps', 'leap', 'leaped')
advantag	('advantages', 'advantage')
legaci	('legacy',)
block	('blocks', 'blocked', 'block')
r&d	('r&d',)
ai-specif	('ai-specific',)
reinforc	('reinforced', 'reinforce')
virtuou	('virtuous',)
evangel	('evangelize',)
industry-lead	('industry-leading',)
gameplay	('gameplay',)
studio	('studio', 'studios')
empow	('empowers',)
photo	('photo',)
anywher	('anywhere',)
advent	('advent',)
too	('too',)
hand-cod	('hand-coded',)
ai-	('ai-',)
tier-1	('tier-1',)
start-up	('start-ups',)
gpu-bas	('gpu-based',)
re-simul	('re-simulate',)
odm	('odms',)
add-in	('add-in',)
aib	('aibs',)
distributor	('distributors',)
depth	('depth',)
time-to-market	('time-to-market',)
personnel	('personnel',)
evolv	('evolved', 'evolving', 'evolve')
avenu	('avenues',)
thu	('thus',)
e-tail	('e-tail',)
half	('half',)
notebook	('notebooks', 'notebook')
weaker	('weaker',)
supply-constrain	('supply-constrained',)
repeat	('repeat',)
fabless	('fabless',)
wafer	('wafer', 'wafers')
procur	('procure', 'procurement')
substrat	('substrates',)
non-cancel	('non-cancellable', 'non-cancelable')
premium	('premiums', 'premium')
deposit	('deposits', 'deposit')
samsung	('samsung',)
ltd	('ltd',)
subcontractor	('subcontractors', 'subcontractor')
amkor	('amkor',)
king	('king',)
yuan	('yuan',)
omni	('omni',)
siliconwar	('siliconware',)
wistron	('wistron',)
flex	('flex',)
jabil	('jabil',)
fabrinet	('fabrinet',)
cabl	('cables', 'cable')
ibiden	('ibiden',)
kinsu	('kinsus',)
unimicron	('unimicron',)
micron	('micron',)
sk	('sk',)
hynix	('hynix',)
consign	('consign',)
circuit	('circuit', 'circuits')
advantest	('advantest',)
byd	('byd',)
hon	('hon',)
hai	('hai',)
motherboard	('motherboard',)
aic	('aic',)
hong	('hong',)
kong	('kong',)
israel	('israel',)
character	('characterized',)
breadth	('breadth',)
entrant	('entrants',)
semiconductor-bas	('semiconductor-based',)
fibr	('fibre',)
licensor	('licensors',)
amd	('amd',)
alibaba	('alibaba',)
ambarella	('ambarella',)
renesa	('renesas',)
motor	('motors',)
optoelectron	('optoelectronics',)
arista	('arista',)
junip	('juniper',)
lumentum	('lumentum',)
patent	('patents', 'patent')
secret	('secrets',)
nondisclosur	('nondisclosure',)
2045	('2045',)
treati	('treaties',)
asia	('asia',)
piraci	('piracy',)
export	('export', 'exports', 'exporting')
tariff	('tariffs',)
anti-corrupt	('anti-corruption',)
repatri	('repatriation', 'repatriate', 'repatriating')
antitrust	('antitrust',)
1985	('1985',)
corewar	('coreware',)
1983	('1983',)
microprocessor	('microprocessor',)
arizona	('arizona',)
methodist	('methodist',)
22-year	('22-year',)
hewlett-packard	('hewlett-packard',)
booz	('booz',)
allen	('allen',)
hamilton	('hamilton',)
minnesota	('minnesota',)
uniphas	('uniphase',)
optic	('optical',)
telecommun	('telecommunications',)
electro-opt	('electro-optics',)
laser	('laser',)
hard	('hard',)
disk	('disk',)
kansa	('kansas',)
missil	('missiles',)
harm	('harm', 'harmed', 'harms', 'harming')
lose	('lose',)
immateri	('immaterial',)
e-	('e-',)
commerc	('commerce', 'commerces')
lengthi	('lengthy',)
incompat	('incompatible',)
prevail	('prevailing',)
intensifi	('intensify',)
cheaper	('cheaper',)
in-hous	('in-house',)
entail	('entails',)
mismatch	('mismatch', 'mismatches')
blockchain-bas	('blockchain-based',)
ethereum	('ethereum',)
verifi	('verifying',)
blockchain	('blockchain',)
aftermarket	('aftermarket',)
resal	('resales', 'resale')
lite	('lite',)
hash	('hash',)
lhr	('lhr',)
miner	('miners', 'minerals')
attempt	('attempts',)
resold	('resold',)
unauthor	('unauthorized',)
gray	('gray',)
shortag	('shortages', 'shortage')
perish	('perishable',)
disappear	('disappear',)
perhap	('perhaps',)
shorten	('shorten',)
finish	('finished',)
write-down	('write-down', 'write-downs')
incorrectli	('incorrectly',)
confid	('confidence',)
downturn	('downturns',)
economi	('economy',)
incid	('incidence', 'incident')
obsolesc	('obsolescence',)
spike	('spikes',)
underestim	('underestimate',)
lead-tim	('lead-time', 'lead-times')
fill	('fill', 'filled')
constraint	('constraints',)
disast	('disasters', 'disaster')
begun	('begun',)
trigger	('trigger',)
neg	('negatively', 'negative')
lack	('lack', 'lacking')
decommit	('decommitment',)
geometri	('geometry',)
